player_id,first_name,last_name,birthdate,birth_country,birth_state,height_feet,height_inches,weight,team,primary_position,throws,bats
453286,Maxwell,Scherzer,1984-07-27,USA,"MO   ",6,3,208,TOR,RHS,R,R
457759,Justin,Turner,1984-11-23,USA,"CA   ",5,11,208,CHC,3B,R,R
458677,Justin,Wilson,1987-08-18,USA,"CA   ",6,2,205,BOS,LHR,L,L
477132,Clayton,Kershaw,1988-03-19,USA,"TX   ",6,4,225,LAD,LHS,L,L
500743,Miguel,Rojas,1989-02-24,Venezuela,NULL,5,11,188,LAD,SS,R,R
500779,Jose,Quintana,1989-01-24,Colombia,NULL,6,2,224,MIL,LHS,L,R
502085,David,Robertson,1985-04-09,USA,"AL   ",5,11,195,PHI,RHR,R,R
502671,Paul,Goldschmidt,1987-09-10,USA,"DE   ",6,2,225,NYY,1B,R,R
506433,Yu,Darvish,1986-08-16,Japan,NULL,6,5,220,SD,RHS,R,R
518585,Fernando,Cruz,1990-03-28,Puerto Rico,NULL,6,2,237,NYY,RHR,R,R
518692,Frederick,Freeman,1989-09-12,USA,"CA   ",6,4,220,LAD,1B,R,L
519141,Thomas,Pomeranz,1988-11-22,USA,"TN   ",6,5,246,LAA,LHS,L,R
519317,Giancarlo,Stanton,1989-11-08,USA,"CA   ",6,6,245,NYY,DH,R,R
543807,George,Springer,1989-09-19,USA,"CT   ",6,1,220,TOR,CF,R,R
547180,Bryce,Harper,1992-10-16,USA,"NV   ",6,2,210,PHI,RF,R,L
547973,Albertin,Chapman,1988-02-28,Cuba,NULL,6,4,235,BOS,LHR,L,L
552640,Andrew,Kittredge,1990-03-17,USA,"WA   ",6,1,230,BAL,RHR,R,R
553993,Eugenio,Suarez,1991-07-18,Venezuela,NULL,5,11,213,SEA,3B,R,R
571510,Matthew,Boyd,1991-02-02,USA,"WA   ",6,3,223,CHI,LHS,L,L
571771,Enrique,Hernandez,1991-08-24,Puerto Rico,NULL,5,10,195,LAD,SS,R,R
571927,Steven,Matz,1991-05-29,USA,"NY   ",6,2,205,TB,LHS,L,R
571970,Maxwell,Muncy,1990-08-25,USA,"TX   ",5,10,215,LAD,3B,R,L
573124,Taylor,Rogers,1990-12-17,USA,"CO   ",6,3,190,MIN,LHR,L,L
573204,Caleb,Thielbar,1987-01-31,USA,"MN   ",6,0,205,CHI,LHR,L,R
578428,Jose,Iglesias,1990-01-05,Cuba,NULL,5,11,195,SD,SS,R,R
592206,Nicholas,Castellanos,1992-03-04,USA,"FL   ",6,3,203,PHI,RF,R,R
592332,Kevin,Gausman,1991-01-06,USA,"CO   ",6,2,205,TOR,RHS,R,L
592426,Luke,Jackson,1991-08-24,USA,"FL   ",6,2,210,SEA,RHR,R,R
592450,Aaron,Judge,1992-04-26,USA,"CA   ",6,7,282,NYY,RF,R,R
